datetime,value,sensor_id,sensor_count,temp_c,humidity_pct,precip_mm,wind_speed_ms,wind_dir_deg,surface_pressure_hpa,lag_1h,lag_6h,lag_12h,lag_24h,roll_mean_3h,roll_mean_6h,roll_mean_24h,roll_mean_7d,roll_std_3h,roll_std_6h,roll_std_24h,hour,hour_sin,hour_cos,month,month_sin,month_cos,day_of_week,dow_sin,dow_cos,is_weekend,day_of_year,sensor_health_mean,sensor_health_min
2022-02-19 01:00:00+00:00,6.270909090909091,2000717.0,,18.0,40,0.0,5.9,191,986.2,6.241818181818181,6.763,5.348000000000001,4.9350000000000005,6.3103333333333325,6.360666666666667,5.224193181818182,5.224193181818182,0.0681842625823798,0.2087514530392613,0.9706102804061528,1,0.25881904510252074,0.9659258262890683,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 02:00:00+00:00,6.127000000000001,2000717.0,,16.9,40,0.0,2.6,16,986.1,6.270909090909091,6.296363636363637,5.130909090909091,4.938000000000001,6.274575757575757,6.278651515151515,5.27985606060606,5.266061818181818,0.03473635451598338,0.06886399139820773,0.9913881403284012,2,0.49999999999999994,0.8660254037844387,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 03:00:00+00:00,5.817272727272727,2000717.0,,14.7,44,0.0,7.0,21,986.3,6.127000000000001,6.173636363636363,4.204545454545454,6.327272727272727,6.213242424242424,6.250424242424242,5.329397727272727,5.299174825174825,0.07609130733752076,0.09123051661879454,1.003200150740221,3,0.7071067811865476,0.7071067811865476,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 04:00:00+00:00,6.405454545454546,2000717.0,,13.8,40,0.0,6.5,6,986.4,5.817272727272727,6.378181818181818,5.452,4.740909090909091,6.071727272727273,6.1910303030303035,5.308147727272727,5.318363636363636,0.2318141354370394,0.20108359074851817,0.9864048131921704,4,0.8660254037844386,0.5000000000000001,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 05:00:00+00:00,6.609,2000717.0,,12.8,35,0.0,5.4,352,986.5,6.405454545454546,6.311,5.71909090909091,4.558999999999999,6.116575757575759,6.1955757575757575,5.377503787878788,5.357188311688311,0.294229436719882,0.20639823231565801,1.003163447245486,5,0.9659258262890683,0.25881904510252074,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 06:00:00+00:00,4.622727272727273,2000717.0,,12.2,32,0.0,6.2,350,986.5,6.609,6.241818181818181,6.258181818181819,4.471818181818182,6.2772424242424245,6.2452424242424245,5.462920454545454,5.400354231974922,0.4111408269854945,0.266757317925234,1.0176118472120972,6,1.0,6.123233995736766e-17,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 07:00:00+00:00,5.068181818181818,2000717.0,,11.5,33,0.0,6.2,339,986.2,4.622727272727273,6.270909090909091,6.763,4.050909090909091,5.879060606060606,5.97539393939394,5.4692083333333334,5.374433333333333,1.0927661100847954,0.7143433062811253,1.0116704012195255,7,0.9659258262890683,-0.25881904510252063,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 08:00:00+00:00,4.925,2000717.0,,10.6,35,0.0,6.9,332,985.9,5.068181818181818,6.127000000000001,6.296363636363637,4.144,5.433303030303031,5.774939393939394,5.511594696969698,5.364554252199413,1.0422595460980444,0.7805183246384544,0.9701210603353537,8,0.8660254037844387,-0.4999999999999998,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 09:00:00+00:00,4.304545454545455,2000717.0,,9.9,37,0.0,7.4,337,985.5,4.925,5.817272727272727,6.173636363636363,3.7536363636363634,4.871969696969697,5.574606060606061,5.544136363636363,5.350818181818182,0.2274128356011153,0.8250689561298187,0.934704442728778,9,0.7071067811865476,-0.7071067811865475,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 10:00:00+00:00,3.928181818181818,2000717.0,,9.2,40,0.0,7.1,345,985.2,4.304545454545455,6.405454545454546,6.378181818181818,3.707,4.765909090909091,5.322484848484849,5.567090909090909,5.319112947658402,0.4059157079782303,0.9567099989226476,0.8947313076158013,10,0.49999999999999994,-0.8660254037844387,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 11:00:00+00:00,3.7920000000000003,2000717.0,,9.1,40,0.0,7.1,345,984.8,3.928181818181818,6.609,6.311,3.9745454545454546,4.385909090909091,4.909606060606061,5.576306818181819,5.27820320855615,0.5033653274636218,0.9300445500156335,0.8756751686231744,11,0.258819045102521,-0.9659258262890682,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 12:00:00+00:00,3.838181818181818,2000717.0,,10.1,35,0.0,7.1,345,984.3,3.7920000000000003,4.622727272727273,6.241818181818181,5.501818181818181,4.008242424242424,4.440106060606061,5.568700757575758,5.235740259740259,0.26548632022364804,0.5221946706973326,0.8908541071518764,12,1.2246467991473532e-16,-1.0,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 13:00:00+00:00,3.539090909090909,2000717.0,,10.8,32,0.0,7.4,346,984.3,3.838181818181818,5.068181818181818,6.270909090909091,5.348000000000001,3.852787878787879,4.309348484848485,5.499382575757576,5.196919191919192,0.06925586369142969,0.563881795293459,0.9584449860151126,13,-0.2588190451025208,-0.9659258262890683,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 14:00:00+00:00,3.3609999999999998,2000717.0,,10.6,32,0.0,7.8,347,984.4,3.539090909090909,4.925,6.127000000000001,5.130909090909091,3.723090909090909,4.0545,5.424011363636364,5.1521130221130225,0.16101301215319028,0.493476564625643,1.0386377629703163,14,-0.4999999999999997,-0.8660254037844388,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 15:00:00+00:00,3.2509090909090905,2000717.0,,10.6,32,0.0,7.3,351,984.6,3.3609999999999998,4.304545454545455,5.817272727272727,4.204545454545454,3.579424242424242,3.7938333333333336,5.350265151515152,5.104978468899521,0.24113420585673614,0.32652256660358925,1.120001089175034,15,-0.7071067811865471,-0.7071067811865479,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 16:00:00+00:00,4.289090909090909,2000717.0,,13.6,28,0.0,8.6,360,985.3,3.2509090909090905,3.928181818181818,6.405454545454546,5.452,3.3836666666666666,3.6182272727272724,5.310530303030303,5.057438228438229,0.1454218808019529,0.27640544988710364,1.1778385835205938,16,-0.8660254037844385,-0.5000000000000004,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 17:00:00+00:00,4.979,2000717.0,,17.5,24,0.0,5.4,8,986.0,4.289090909090909,3.7920000000000003,6.609,5.71909090909091,3.6336666666666666,3.678378787878788,5.262075757575758,5.038229545454546,0.5702768671743217,0.37796212332280815,1.1955526699435595,17,-0.9659258262890683,-0.25881904510252063,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 18:00:00+00:00,5.250909090909091,2000717.0,,20.5,18,0.0,3.8,49,985.9,4.979,3.838181818181818,4.622727272727273,6.258181818181819,4.173,3.8762121212121206,5.231238636363637,5.036784922394678,0.8698749173880261,0.6569862135908959,1.1927937438736012,18,-1.0,-1.8369701987210297e-16,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 19:00:00+00:00,5.621818181818181,2000717.0,,22.4,17,0.0,2.5,135,985.6,5.250909090909091,3.539090909090909,5.068181818181818,6.763,4.839666666666667,4.111666666666667,5.18926893939394,5.041883116883117,0.49581638441295944,0.8618430043733856,1.172639326137962,19,-0.9659258262890684,0.2588190451025203,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
2022-02-19 20:00:00+00:00,5.485,2000717.0,,23.2,18,0.0,5.5,157,985.0,5.621818181818181,3.3609999999999998,4.925,6.296363636363637,5.283909090909091,4.458787878787878,5.141719696969697,5.055369978858351,0.32267716640476013,0.9943462783216588,1.1283523157935702,20,-0.8660254037844386,0.5000000000000001,2,0.8660254037844386,0.5000000000000001,5,-0.9749279,-0.22252093,1,50,100,100
