datetime,value,sensor_id,sensor_count,temp_c,humidity_pct,precip_mm,wind_speed_ms,wind_dir_deg,surface_pressure_hpa,lag_1h,lag_6h,lag_12h,lag_24h,roll_mean_3h,roll_mean_6h,roll_mean_24h,roll_mean_7d,roll_std_3h,roll_std_6h,roll_std_24h,hour,hour_sin,hour_cos,month,month_sin,month_cos,day_of_week,dow_sin,dow_cos,is_weekend,day_of_year,sensor_health_mean,sensor_health_min
2021-04-30 11:00:00+00:00,14.0,1304191.0,1.0,25.0,91,0.0,5.6,153,985.7,14.0,13.0,12.0,,13.333333333333334,13.166666666666666,,,0.5773502691896255,0.4082482904638632,,11,0.258819045102521,-0.9659258262890682,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
2021-04-30 12:00:00+00:00,14.0,1304191.0,1.0,25.1,92,0.0,4.9,144,986.0,14.0,13.0,12.0,,13.666666666666666,13.333333333333334,,,0.5773502691896255,0.5163977794943228,,12,1.2246467991473532e-16,-1.0,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
2021-04-30 13:00:00+00:00,14.0,1304191.0,1.0,24.8,92,0.0,5.0,159,986.7,14.0,13.0,12.0,,14.0,13.5,,,0.0,0.5477225575051671,,13,-0.2588190451025208,-0.9659258262890683,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
2021-04-30 14:00:00+00:00,14.11111111111111,,,24.2,94,0.0,4.4,171,987.5,14.0,13.0,12.0,,14.0,13.666666666666666,,,0.0,0.516397779494324,,14,-0.4999999999999997,-0.8660254037844388,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
2021-04-30 15:00:00+00:00,14.222222222222221,,,23.8,96,0.0,4.3,180,988.1,14.11111111111111,13.0,12.0,,14.037037037037038,13.851851851851853,,,0.06415002990995845,0.41968045849527136,,15,-0.7071067811865471,-0.7071067811865479,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
2021-04-30 16:00:00+00:00,14.333333333333334,,,23.6,96,0.0,4.1,165,988.8,14.222222222222221,14.0,13.0,,14.111111111111109,14.055555555555555,,,0.1111111111111122,0.0929622251704751,,16,-0.8660254037844385,-0.5000000000000004,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
2021-04-30 17:00:00+00:00,14.444444444444445,,,23.2,98,0.0,3.3,139,988.7,14.333333333333334,14.0,13.0,,14.222222222222221,14.111111111111112,,,0.11111111111111487,0.1405456737852779,,17,-0.9659258262890683,-0.25881904510252063,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
2021-04-30 18:00:00+00:00,14.555555555555555,,,23.0,99,0.0,3.0,104,988.2,14.444444444444445,14.0,13.0,12.0,14.333333333333334,14.185185185185185,12.962962962962962,12.962962962962962,0.11111111111111598,0.18144368465062047,0.945462177798521,18,-1.0,-1.8369701987210297e-16,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
2021-04-30 19:00:00+00:00,14.666666666666666,,,22.9,99,0.0,2.3,51,987.8,14.555555555555555,14.0,13.0,12.0,14.444444444444445,14.277777777777779,13.069444444444445,13.026666666666667,0.1111111111111171,0.20786985482078904,0.9757183516076672,19,-0.9659258262890684,0.2588190451025203,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
2021-04-30 20:00:00+00:00,14.777777777777779,,,22.6,99,0.0,2.8,40,987.4,14.666666666666666,14.11111111111111,13.0,12.0,14.555555555555555,14.388888888888888,13.180555555555555,13.08974358974359,0.11111111111112021,0.20786985482079062,1.0001677261379438,20,-0.8660254037844386,0.5000000000000001,4,0.8660254037844387,-0.4999999999999998,4,-0.43388373,-0.90096885,0,120,100,100
