location_id,location_name,sensor_id,parameter,value,datetime_utc,lat,lon
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",8.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",8.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",7.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",9.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",8.1,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",7.1,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",7.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",8.3,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",8.3,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",7.1,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",6.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",7.8,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",9.6,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",14.1,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",11.3,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",12.3,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",12.5,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",13.4,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",13.2,,-33.673752071375,-70.953064737434
54,Talagante,3013,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",13.0,,-33.673752071375,-70.953064737434
